"www.cs.put.poznan.pl","16","0","43444"
"www2.cs.put.poznan.pl","61","0","1206337"
"ocsp.pki.goog","9","747","4239"
"ocsp.digicert.com","7","581","3297"
"detectportal.firefox.com","2","0","16"
"www.neverssl.com","2","0","1306"
